StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,213 - personal_1,213 - personal_2,213 - personal_3,213 - user query,213 - ranking_0_GROUP,213 - ranking_0_1_RANK,213 - ranking_0_2_RANK,213 - ranking_0_3_RANK,213 - ranking_0_4_RANK,213 - ranking_0_5_RANK,213 - ranking_0_6_RANK,253 - personal_1,253 - personal_2,253 - personal_3,253 - user query,253 - ranking_0_GROUP,253 - ranking_0_1_RANK,253 - ranking_0_2_RANK,253 - ranking_0_3_RANK,253 - ranking_0_4_RANK,253 - ranking_0_5_RANK,253 - ranking_0_6_RANK,234 - personal_1,234 - personal_2,234 - personal_3,234 - user query,234 - ranking_0_GROUP,234 - ranking_0_1_RANK,234 - ranking_0_2_RANK,234 - ranking_0_3_RANK,234 - ranking_0_4_RANK,234 - ranking_0_5_RANK,234 - ranking_0_6_RANK,283 - personal_1,283 - personal_2,283 - personal_3,283 - user query,283 - ranking_0_GROUP,283 - ranking_0_1_RANK,283 - ranking_0_2_RANK,283 - ranking_0_4_RANK,283 - ranking_0_5_RANK,283 - ranking_0_6_RANK,283 - ranking_0_3_RANK,Random ID,mistakes
2022-02-11 16:26:35,2022-02-11 16:34:17,0,98.250.53.187,100,461,1,2022-02-11 16:34:19,R_0qhb8YLGqDk1jlT,,,,,42.737701416015625,-84.52390289306640625,anonymous,EN,0.89999997615814208984375,,0,0,,5,3,4,carpal tunnel symptoms,"4,1,3,5,2,6",2,5,3,1,4,6,4,3,5,best treatment for a mouth abcess,"3,1,4,2,5,6",2,4,1,3,5,6,5,3,5,what are the benefits of dark chocolate,"3,4,5,2,1,6",5,4,1,2,3,6,2,4,4,Pennsylvania hayrides,"2,4,6,5,1,3",5,1,2,4,3,6,81810992886,1
2022-02-12 01:10:35,2022-02-12 01:15:45,0,66.66.148.164,100,310,1,2022-02-12 01:15:46,R_1mPGOoidKeL82nc,,,,,43.220703125,-77.5991973876953125,anonymous,EN,0.89999997615814208984375,,0,0,,1,4,5,What are the symptoms of carpel tunnel syndrome,"4,3,1,5,2,6",3,5,2,1,4,6,1,4,4,How do you treat an abscess?,"3,1,2,4,5,6",2,3,1,4,5,6,2,5,4,Is dark chocolate healthy for you?,"4,5,2,3,1,6",5,3,4,1,2,6,4,4,5,Best hay rides in Pennsylvania,"4,2,6,5,1,3",5,2,1,4,3,6,41064146072,1
2022-02-12 03:18:51,2022-02-12 03:26:27,0,45.86.210.172,100,456,1,2022-02-12 03:26:28,R_4VlQs8B5uM0wAZr,,,,,33.4412994384765625,-112.0420989990234375,anonymous,EN,0.89999997615814208984375,,0,75,,5,5,5,carpal tunnel syndrome symptoms,"4,1,3,2,5,6",2,4,3,1,5,6,4,4,4,abscess tooth treatments,"3,1,4,5,2,6",2,5,1,3,4,6,4,4,5,dark chocolate health benefits,"4,5,2,3,6,1",6,3,4,1,2,5,5,5,5,Pennsylvania hay rides,"5,4,2,6,1,3",5,3,2,1,4,6,66614099501,2
2022-02-12 05:46:32,2022-02-12 05:50:07,0,138.43.176.111,100,214,1,2022-02-12 05:50:07,R_2Ebf2Jpq29Y52iO,,,,,36.5052947998046875,-84.529296875,anonymous,EN,1,,0,0,,4,2,4,symptoms of carpal tunnel syndrome,"1,4,3,5,2,6",1,5,3,2,4,6,4,2,4,abscess tooth treatment,"3,1,2,4,5,6",2,3,1,4,5,6,4,3,5,Health benefits from consuming Dark Chocolate,"5,4,2,3,1,6",5,3,4,2,1,6,2,4,4,Hay rides in Pennsylvania,"4,2,5,6,1,3",5,2,1,3,4,6,62305674117,1
2022-02-12 06:17:58,2022-02-12 06:24:19,0,100.8.119.202,100,380,1,2022-02-12 06:24:20,R_1DuOKTJhlBOrrg3,,,,,40.7158050537109375,-74.35900115966796875,anonymous,EN,1,,0,0,,5,5,5,Carpal Tunnel Syndrome symptoms,"4,1,5,3,6,2",2,6,4,1,3,5,4,4,5,Abscess pain jaw treatment,"1,3,4,5,2,6",1,5,2,3,4,6,4,5,5,Health benefits of dark chocolate,"4,5,3,2,6,1",6,4,3,1,2,5,4,4,4,Pennsylvania hay ride locations,"4,5,6,2,1,3",5,4,1,2,3,6,62583433750,3
2022-02-12 10:47:50,2022-02-12 10:53:10,0,165.225.220.123,100,319,1,2022-02-12 10:53:10,R_3koBa19uXZix6iQ,,,,,40.7427978515625,-73.97119903564453125,anonymous,EN,1,,0,25,,4,5,4,symptoms of carpal tunnel syndrome,"1,4,3,5,2,6",1,5,3,2,4,6,4,4,3,How to cure an tooth abscess,"3,1,2,4,5,6",2,3,1,4,5,6,3,2,4,Is dark chocolate good for you?,"4,5,2,3,1,6",5,3,4,1,2,6,4,5,3,Best hay rides in Pennsylvania,"4,2,6,5,1,3",5,2,1,4,3,6,40976939934,1
2022-02-12 11:18:06,2022-02-12 11:20:43,0,73.84.237.216,100,157,1,2022-02-12 11:20:45,R_2QoermGWJjMx9S2,,,,,25.7738037109375,-80.3583984375,anonymous,EN,0.89999997615814208984375,,0,0,,2,3,4,"carpal tunnel symptoms ","1,5,3,4,2,6",1,5,3,4,2,6,4,3,4,treatment for abscess tooth,"1,3,2,4,5,6",1,3,2,4,5,6,4,4,5,health benefits of dark chocolate,"2,5,4,3,1,6",5,1,4,3,2,6,1,1,3,"hayrides in Pennsylvania ","2,6,4,5,1,3",5,1,3,4,2,6,21930805312,1
2022-02-12 12:17:40,2022-02-12 12:23:23,0,73.236.233.120,100,343,1,2022-02-12 12:23:23,R_2dgQObAuntcUQzr,,,,,40.566192626953125,-79.70780181884765625,anonymous,EN,,,,,,5,4,5,carpal tunnel syndrome symptoms,"1,4,3,5,2,6",1,5,3,2,4,6,5,5,5,dental abscess home treatments,"3,1,4,2,5,6",2,4,1,3,5,6,5,4,4,Is dark chocolate healthy?,"2,4,6,3,5,1",6,1,4,2,5,3,5,4,4,hay rides in PA,"6,2,5,4,1,3",5,2,4,3,1,6,39733485144,2
2022-02-12 13:28:37,2022-02-12 13:32:31,0,23.84.70.4,100,233,1,2022-02-12 13:32:31,R_1qa0lBRGCYvGMTd,,,,,38.6551971435546875,-90.2494964599609375,anonymous,EN,1,,0,10,,1,2,4,"carpal tunnel syndrome hand pain ","1,4,3,2,5,6",1,4,3,2,5,6,2,3,4,"abscess toothache ","1,3,2,4,5,6",1,3,2,4,5,6,4,5,5,"dark chocolate healthy or not ","4,3,2,5,1,6",5,3,2,1,4,6,2,4,5,"hay ride Pennsylvania ","2,4,6,5,1,3",5,1,2,4,3,6,44042154022,1
2022-02-12 14:44:07,2022-02-12 14:46:41,0,136.57.182.19,100,154,1,2022-02-12 14:46:42,R_8H9zLZxYgLQoKFH,,,,,35.291595458984375,-80.820098876953125,anonymous,EN,1,,0,0,,4,2,5,carpal tunnel syndrome symptoms,"1,5,4,2,3,6",1,4,5,3,2,6,1,2,5,tooth abscess treatment,"1,3,4,5,2,6",1,5,2,3,4,6,1,2,3,dark chocolate health benefits,"6,4,5,3,2,1",6,5,4,2,3,1,1,2,5,pennsylvania hayrides,"6,5,2,4,1,3",5,3,4,2,1,6,57343971708,2
2022-02-12 15:00:15,2022-02-12 15:04:22,0,108.185.146.83,100,246,1,2022-02-12 15:04:22,R_3kNCS20M5LnZqU9,,,,,34.0543975830078125,-118.2440948486328125,anonymous,EN,1,,0,0,,3,4,5,symptoms carpal tunnel,"1,4,3,2,5,6",1,4,3,2,5,6,4,4,5,treat tooth abscess,"1,3,5,4,2,6",1,5,2,4,3,6,5,5,5,health benefits dark chocolate,"3,2,4,5,1,6",5,2,1,3,4,6,2,2,4,hay rides pennsylvania PA,"6,2,4,5,1,3",5,2,3,4,1,6,61180804627,1
2022-02-12 17:05:32,2022-02-12 17:10:29,0,73.171.50.82,100,296,1,2022-02-12 17:10:29,R_3hhIHdM1AhOzNie,,,,,37.5702056884765625,-77.42389678955078125,anonymous,EN,1,,0,10,,4,4,4,symptoms of carpal tunnel syndrome,"1,4,5,3,2,6",1,5,4,2,3,6,5,4,5,abscessed tooth treatment,"1,3,4,2,5,6",1,4,2,3,5,6,4,2,5,dark chocolate health benefits,"5,4,2,1,3,6",4,3,5,2,1,6,2,2,4,hay ride Pennsylvania booking,"4,6,2,5,1,3",5,3,1,4,2,6,53825209026,1
2022-02-12 18:05:45,2022-02-12 18:09:22,0,72.208.207.238,100,216,1,2022-02-12 18:09:23,R_3niQLVuhEsiABNj,,,,,33.405303955078125,-111.7227020263671875,anonymous,EN,1,,0,0,,3,3,5,carpal tunnel symptoms,"1,4,5,3,2,6",1,5,4,2,3,6,4,2,5,abcess tooth symptoms mouth pain,"4,5,1,3,2,6",3,5,4,1,2,6,5,5,5,dark chocolate health benefits,"3,2,5,4,1,6",5,2,1,4,3,6,2,2,4,pennsylvania hay rides,"4,6,2,5,1,3",5,3,1,4,2,6,91198495172,1
2022-02-12 18:03:53,2022-02-12 18:11:37,0,142.186.77.65,100,464,1,2022-02-12 18:11:39,R_3nGDQkLrSEWNuJE,,,,,43.654693603515625,-79.36229705810546875,anonymous,EN,1,,0,10,,4,3,5,Does carpal tunnel syndrome cause hand pain?,"4,1,3,5,2,6",2,5,3,1,4,6,3,3,5,treatments for tooth abscess,"3,1,2,4,5,6",2,3,1,4,5,6,3,4,4,Does dark chocolate have health benefits?,"4,5,3,2,1,6",5,4,3,1,2,6,2,2,5,hay rides in Pennsylvania,"4,5,2,6,1,3",5,3,1,2,4,6,80090468309,1
2022-02-12 20:49:40,2022-02-12 20:52:15,0,99.8.86.242,100,155,1,2022-02-12 20:52:16,R_31cS1FP8M6j1vvv,,,,,42.28070068359375,-83.78009796142578125,anonymous,EN,1,,0,0,,2,3,3,Carpal syndrome info,"5,1,4,3,2,6",2,5,4,3,1,6,2,4,3,pain relief for toothache,"4,5,3,1,2,6",4,5,3,1,2,6,4,4,3,health benefits dark chocolate,"5,3,2,4,6,1",6,3,2,4,1,5,3,4,3,Pennsylvania hay rides,"2,6,5,4,1,3",5,1,4,3,2,6,77160508823,2
2022-02-12 20:52:41,2022-02-12 20:52:45,0,99.8.86.242,8,4,0,2022-02-12 21:52:49,R_2dZuSVCiOs5IctC,,,,,,,anonymous,EN,0.89999997615814208984375,true,100,0,2022-02-12 09:49:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93617554588,0
2022-02-13 00:20:45,2022-02-13 00:23:56,0,70.179.211.39,100,190,1,2022-02-13 00:23:56,R_ukNypr70Rxqpkhb,,,,,39.132904052734375,-95.702301025390625,anonymous,EN,1,,0,0,,4,3,5,carpal tunnel syndrome symptoms,"4,1,3,5,2,6",2,5,3,1,4,6,2,1,4,tooth abscess treatment,"1,2,3,4,5,6",1,2,3,4,5,6,4,4,4,dark chocolate health benefits,"6,4,5,3,2,1",6,5,4,2,3,1,1,2,3,Pennsylvania hay rides,"4,2,6,5,1,3",5,2,1,4,3,6,71464584972,2
2022-02-13 00:43:08,2022-02-13 00:50:24,0,72.78.76.5,100,435,1,2022-02-13 00:50:26,R_2drI8wlABYOQuYk,,,,,40.267303466796875,-74.948699951171875,anonymous,EN,0.89999997615814208984375,,0,5,,2,3,5,carpal tunnel syndrome symptoms,"1,4,3,5,2,6",1,5,3,2,4,6,4,3,5,how to treat an abscess tooth,"3,1,5,4,2,6",2,5,1,4,3,6,4,4,4,health benefits of dark chocolate,"5,4,2,3,1,6",5,3,4,2,1,6,2,2,2,hayrides in Pennsylvania,"4,5,2,6,1,3",5,3,1,2,4,6,22297096890,1
2022-02-13 01:04:41,2022-02-13 01:09:01,0,71.47.127.32,100,260,1,2022-02-13 01:09:01,R_W2Q8tvc2FUAwMxP,,,,,28.188507080078125,-81.269500732421875,anonymous,EN,1,,0,0,,5,3,5,"symptoms of carpel tunnel syndrome ","1,4,3,5,2,6",1,5,3,2,4,6,4,2,5,treatment for tooth abscess,"3,1,2,5,4,6",2,3,1,5,4,6,4,2,5,"benefits of dark chocolate ","6,5,4,3,2,1",6,5,4,3,2,1,1,4,5,"hayrides in Pennsylvania ","2,5,6,4,1,3",5,1,4,2,3,6,29592458207,2
2022-02-13 03:17:46,2022-02-13 03:23:16,0,47.33.117.226,100,330,1,2022-02-13 03:23:17,R_2xYtBZG0Qz8gGWg,,,,,34.4178924560546875,-117.306396484375,anonymous,EN,1,,0,0,,4,5,5,"Carpal tunnel syndrome symptoms ","3,4,1,2,5,6",3,4,1,2,5,6,1,2,4,Treatments for tooth abscess,"3,1,4,2,5,6",2,4,1,3,5,6,4,4,5,Dark chocolate benefits,"4,5,3,2,1,6",5,4,3,1,2,6,1,1,5,Places to find a hay ride in Pennsylvania,"4,2,5,6,1,3",5,2,1,3,4,6,67858184527,1
2022-02-13 03:36:46,2022-02-13 03:42:25,0,100.19.94.69,100,339,1,2022-02-13 03:42:26,R_V4mLPMRYqulSdMZ,,,,,39.92059326171875,-75.1826019287109375,anonymous,EN,1,,0,0,,5,4,5,carpal tunnel syndrome symptoms,"4,3,1,2,5,6",3,4,2,1,5,6,5,4,5,tooth abscess treatments,"3,1,2,4,5,6",2,3,1,4,5,6,4,4,5,health benefits of dark chocolate,"5,4,3,2,1,6",5,4,3,2,1,6,4,4,5,hayrides in Pennsylvania,"4,5,2,6,1,3",5,3,1,2,4,6,60606928889,1
2022-02-13 04:29:28,2022-02-13 04:35:26,0,209.107.191.28,100,358,1,2022-02-13 04:35:27,R_2QFjTum6z3XyUfs,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,1,,0,75,,4,3,5,Carpal tunnel syndrome symptoms,"4,3,1,5,2,6",3,5,2,1,4,6,5,4,5,Tooth abscess treatment,"1,3,2,5,4,6",1,3,2,5,4,6,3,4,4,Dark chocolate health benefits medical evidence,"5,4,3,2,1,6",5,4,3,2,1,6,5,3,5,Pennsylvania hayride vacation planning information,"4,5,2,6,1,3",5,3,1,2,4,6,73882007172,1
2022-02-13 05:33:08,2022-02-13 05:38:51,0,35.139.104.105,100,343,1,2022-02-13 05:38:53,R_262Bf0HsqNuzjD3,,,,,28.0164031982421875,-81.9553985595703125,anonymous,EN,1,,0,0,,5,5,5,what are the symptoms of carpal tunnel,"3,1,4,2,5,6",2,4,1,3,5,6,4,5,5,How to treat an abscess tooth,"3,1,2,4,5,6",2,3,1,4,5,6,4,5,5,health benefits of dark chocolate,"4,5,3,2,6,1",6,4,3,1,2,5,4,4,5,Hay rides in Pennsylvania,"4,5,2,6,1,3",5,3,1,2,4,6,41428627809,2
2022-02-13 06:03:15,2022-02-13 06:07:24,0,70.67.145.133,100,248,1,2022-02-13 06:07:24,R_1KxtEearOXWHqKX,,,,,49.6584930419921875,-124.9835052490234375,anonymous,EN,0.89999997615814208984375,,0,0,,5,3,5,Carpal tunnel syndrome,"1,5,4,3,2,6",1,5,4,3,2,6,3,4,5,Tooth abscess,"1,3,4,2,5,6",1,4,2,3,5,6,4,5,5,Is dark chocolate healthy,"3,5,4,2,1,6",5,4,1,3,2,6,2,4,5,Hayrides in Pennsylvania,"2,6,4,5,1,3",5,1,3,4,2,6,21639419868,1
2022-02-13 10:09:49,2022-02-13 10:17:00,0,172.58.19.91,100,430,1,2022-02-13 10:17:00,R_4PcEeb6GXT7zMqJ,,,,,33.78729248046875,-117.923095703125,anonymous,EN,1,,0,0,,4,4,5,symptoms of carpal tunnel,"3,4,1,5,2,6",3,5,1,2,4,6,1,3,5,abcess treatments for toothache,"1,3,2,4,5,6",1,3,2,4,5,6,5,5,5,dark chocolate health benefits,"4,6,5,2,3,1",6,4,5,1,3,2,1,1,5,pennsylvania hay rides today,"4,5,2,6,1,3",5,3,1,2,4,6,70663503708,2
2022-02-13 11:09:58,2022-02-13 11:10:07,0,69.117.238.16,8,9,0,2022-02-13 12:10:09,R_2Cpl8xJf99xPyth,,,,,,,anonymous,EN,1,,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73659979819,0
2022-02-13 13:00:47,2022-02-13 13:04:05,0,67.163.230.27,100,197,1,2022-02-13 13:04:07,R_1FkvI2cRfcQjRz1,,,,,40.1587982177734375,-79.81220245361328125,anonymous,EN,1,,0,0,,2,4,5,carpal tunnel symptoms,"1,4,5,3,2,6",1,5,4,2,3,6,4,3,5,tooth abscess treatments,"1,4,3,2,5,6",1,4,3,2,5,6,4,3,5,dark chocolate health benefits,"3,5,2,4,1,6",5,3,1,4,2,6,4,2,4,hay rides in PA,"6,2,4,5,1,3",5,2,3,4,1,6,13250011561,1
2022-02-13 14:09:41,2022-02-13 14:14:41,0,71.209.247.103,100,299,1,2022-02-13 14:14:42,R_1MKgEAA8x3HNqXC,,,,,33.5037994384765625,-112.025299072265625,anonymous,EN,0.89999997615814208984375,,0,0,,4,3,5,How to diagnose carpel tunnel,"4,1,3,5,2,6",2,5,3,1,4,6,2,3,4,"Tooth abscess treatment ","3,1,2,5,4,6",2,3,1,5,4,6,3,5,4,"Health benefits of dark chocolate ","4,5,3,2,1,6",5,4,3,1,2,6,2,3,4,"Hay rides Pennsylvania ","4,5,2,6,1,3",5,3,1,2,4,6,87131918938,1
2022-02-13 17:21:28,2022-02-13 17:23:26,0,24.190.47.7,100,117,1,2022-02-13 17:23:27,R_2EyibjLd8v29YoR,,,,,40.7615966796875,-72.850799560546875,anonymous,EN,1,,0,5,,4,3,5,Carpel tunnel symptoms,"1,3,4,5,2,6",1,5,2,3,4,6,4,5,4,Treatments for tooth abscess,"1,3,2,4,5,6",1,3,2,4,5,6,4,5,5,Dark chocolate health benefits,"6,5,3,4,2,1",6,5,3,4,2,1,4,2,5,Pennsylvania hay rides,"4,5,2,6,1,3",5,3,1,2,4,6,94720094730,2
2022-02-13 20:37:15,2022-02-13 20:42:07,0,68.255.65.63,100,292,1,2022-02-13 20:42:09,R_1n0dv9SPHHgx5vU,,,,,33.39019775390625,-84.47480010986328125,anonymous,EN,0.4000000059604644775390625,,,,,5,3,5,symptoms of carpal tunnel syndrome,"3,4,1,2,5,6",3,4,1,2,5,6,4,3,4,treatment for tooth abscess,"1,3,2,5,4,6",1,3,2,5,4,6,4,3,5,health benefits of dark chocolate,"4,5,2,3,1,6",5,3,4,1,2,6,4,3,5,available hay rides Pennsylvania,"4,2,5,6,1,3",5,2,1,3,4,6,70898484915,1
2022-02-14 00:05:36,2022-02-14 00:11:16,0,70.162.25.201,100,340,1,2022-02-14 00:11:18,R_21FVI65WuaNyQiG,,,,,31.94549560546875,-110.9972991943359375,anonymous,EN,1,,0,0,,2,2,5,carpal tunnel symptoms,"1,4,3,5,2,6",1,5,3,2,4,6,5,3,5,tooth abscess treatments,"3,1,4,5,2,6",2,5,1,3,4,6,4,3,5,health benefits of dark chocolate,"4,5,3,2,1,6",5,4,3,1,2,6,1,3,5,pennsylvania hay ride locations,"4,2,6,5,1,3",5,2,1,4,3,6,55585047286,1
2022-02-14 10:11:43,2022-02-14 10:15:50,0,24.242.228.83,100,246,1,2022-02-14 10:15:50,R_37v5FHh9ShaqLRL,,,,,32.8235931396484375,-96.681396484375,anonymous,EN,1,,0,0,,4,4,5,carpel tunnel symptoms,"4,3,5,1,6,2",4,6,2,1,3,5,2,2,4,abscess remedies,"3,1,4,2,5,6",2,4,1,3,5,6,4,4,5,dark chocolate health benefits,"5,4,3,2,1,6",5,4,3,2,1,6,1,1,2,Hay rides in Pennsylvania,"4,5,2,6,1,3",5,3,1,2,4,6,48775020688,2
2022-02-14 10:24:51,2022-02-14 10:33:57,0,107.77.203.172,100,545,1,2022-02-14 10:33:58,R_V2AgyOpXLgQcUmt,,,,,38.9019012451171875,-77.0341033935546875,anonymous,EN,0.699999988079071044921875,,,,,3,4,5,"I would use a search engine and type in.     Carpal Tunnel syndrome ","1,2,4,3,5,6",1,2,4,3,5,6,3,4,4,"Abscess of tooth symptoms ","1,3,4,2,5,6",1,4,2,3,5,6,3,4,4,"Health benefits of dark chocolate ","4,6,5,3,2,1",6,5,4,1,3,2,4,4,4,"Where can you get hayrides in Pennsylvania ","4,2,5,6,1,3",5,2,1,3,4,6,17372318482,2
2022-02-14 10:35:47,2022-02-14 10:40:18,0,24.10.22.33,100,270,1,2022-02-14 10:40:18,R_30vjxA1DxZ44s4f,,,,,38.6967010498046875,-121.3130035400390625,anonymous,EN,1,,0,0,,4,5,5,carpal tunnel syndrome in hands,"1,3,4,2,5,6",1,4,2,3,5,6,3,2,5,wisdom tooth pain,"1,3,2,4,5,6",1,3,2,4,5,6,4,5,5,dark chocolate health benefits,"2,5,4,3,1,6",5,1,4,3,2,6,1,2,4,hay rides in PA,"2,6,4,5,1,3",5,1,3,4,2,6,76168386279,1
2022-02-14 13:54:20,2022-02-14 13:59:06,0,70.120.230.130,100,286,1,2022-02-14 13:59:07,R_2uqTCRuWmSDESpz,,,,,31.777496337890625,-106.49030303955078125,anonymous,EN,1,,0,0,,5,3,5,Carpal tunnel symptoms,"4,3,1,5,2,6",3,5,2,1,4,6,1,1,5,treaments for tooth abscess,"3,1,2,4,5,6",2,3,1,4,5,6,1,1,5,What are Dark Chocolate health benefits?,"5,4,3,2,1,6",5,4,3,2,1,6,1,1,4,Hay rides in Pennsylvania,"4,2,5,6,1,3",5,2,1,3,4,6,12734195590,1
2022-02-14 14:03:36,2022-02-14 14:07:38,0,24.14.17.170,100,242,1,2022-02-14 14:07:39,R_1exv4sgtAg1tfxn,,,,,42.36669921875,-88.092498779296875,anonymous,EN,1,,0,0,,5,5,5,HOW DO I TELL IF I HAVE CARPEL TUNNELL,"4,5,3,1,6,2",4,6,3,1,2,5,5,5,5,WHAT IS A GOOD TREATMENT FOR AN ABSCESS TOOTH,"4,2,1,3,5,6",3,2,4,1,5,6,4,4,4,WHAT IS DARK CHOCALATE GOOD FOR,"4,3,2,5,1,6",5,3,2,1,4,6,4,4,4,"IN PA,WHERE CAN I GO FOR A HAY RIDE","4,5,6,2,1,3",5,4,1,2,3,6,99458784954,2
2022-02-14 14:06:10,2022-02-14 14:08:35,0,98.47.214.52,100,145,1,2022-02-14 14:08:35,R_6lNMSbPgbtLvfpf,,,,,37.6403045654296875,-122.0666961669921875,anonymous,EN,1,,0,0,,4,5,5,what does carpal tunnel feel like,"3,4,1,5,2,6",3,5,1,2,4,6,3,5,5,how to cure a tooth abscess,"1,3,4,2,5,6",1,4,2,3,5,6,4,5,5,how healthy is dark chocolate,"5,4,2,3,1,6",5,3,4,2,1,6,1,1,4,pa state hay rides,"4,5,2,6,1,3",5,3,1,2,4,6,89286010344,1
2022-02-14 14:06:04,2022-02-14 14:09:33,0,162.221.219.28,100,208,1,2022-02-14 14:09:33,R_6VXP94svqt2ZISl,,,,,38.093597412109375,-84.5009002685546875,anonymous,EN,1,,0,0,,5,5,5,carpal tunnel syndrome,"1,5,3,4,6,2",1,6,3,4,2,5,5,5,5,abcessed tooth treatment,"1,3,2,4,5,6",1,3,2,4,5,6,5,5,5,dark chocolate health benefits,"6,3,5,4,1,2",5,6,2,4,3,1,5,5,5,hay ride pennsylvania,"5,6,4,2,3,1",6,4,3,1,2,5,20602752014,3
2022-02-14 14:08:11,2022-02-14 14:11:12,0,23.227.141.4,100,180,1,2022-02-14 14:11:12,R_YR10NgiuFMWTXqh,,,,,40.5511016845703125,-74.460601806640625,anonymous,EN,1,,0,55,,1,3,4,symptoms of carpal tunnel syndrome,"1,4,3,5,2,6",1,5,3,2,4,6,2,4,4,treatment for abscess,"3,1,2,4,5,6",2,3,1,4,5,6,2,2,4,"is dark chocolate healthy ","6,5,4,3,2,1",6,5,4,3,2,1,1,4,5,Hay ride in PA,"2,6,4,5,1,3",5,1,3,4,2,6,48743136872,2
2022-02-14 14:07:08,2022-02-14 14:15:36,0,98.26.53.151,100,508,1,2022-02-14 14:15:37,R_3Kvw88RwjccCe5C,,,,,36.03900146484375,-78.87799835205078125,anonymous,EN,1,,0,0,,4,4,5,carpal tunnel syndrome AND hand pain,"1,4,3,5,2,6",1,5,3,2,4,6,4,2,5,Howis a jaw or gum abscess treated?,"1,2,3,5,4,6",1,2,3,5,4,6,4,5,5,What are the health benefits of dark chocolate?,"3,5,2,4,1,6",5,3,1,4,2,6,4,4,5,"What part of Pennsylvania, USA offers hay rides?","2,5,6,4,1,3",5,1,4,2,3,6,29515010323,1
2022-02-14 14:11:13,2022-02-14 14:16:26,0,67.233.140.43,100,313,1,2022-02-14 14:16:27,R_Zkv0wMm6GCr6Na1,,,,,28.927398681640625,-81.981903076171875,anonymous,EN,1,,,,,1,1,1,carpal tunnel syndrom symtoms,"4,3,1,5,2,6",3,5,2,1,4,6,1,1,1,tooth abscess treatments,"1,3,4,2,5,6",1,4,2,3,5,6,1,1,1,Health benefits dark chocolate,"4,3,2,5,1,6",5,3,2,1,4,6,1,4,3,Hay rides available Pennsylvania,"4,6,2,5,1,3",5,3,1,4,2,6,91225263345,1
2022-02-14 14:18:20,2022-02-14 14:20:16,0,156.96.62.62,100,115,1,2022-02-14 14:20:17,R_3CMWUgGgruNxe4I,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,1,,0,25,,4,5,4,ok,"6,2,1,5,3,4",3,2,5,6,4,1,4,5,4,ok,"1,4,3,6,5,2",1,6,3,2,5,4,4,5,4,ok done,"2,3,5,1,6,4",4,1,2,6,3,5,4,5,4,ok,"5,1,4,6,2,3",2,5,3,1,4,6,50491842098,4
2022-02-14 13:59:05,2022-02-14 14:20:25,0,185.229.59.175,100,1279,1,2022-02-14 14:20:27,R_bm6xseNGA07RPEJ,,,,,39.1029052734375,-94.57129669189453125,anonymous,EN,0.89999997615814208984375,,0,75,,1,3,3,carpal tunnel syndrome,"4,3,1,5,2,6",3,5,2,1,4,6,1,2,3,abscess treatment,"3,2,1,4,5,6",3,2,1,4,5,6,3,4,4,"DARK CHOCOLATE BENEFIT ","4,5,3,2,1,6",5,4,3,1,2,6,2,3,3,hay ride Pennsylvania,"4,2,6,5,1,3",5,2,1,4,3,6,78669812374,1
2022-02-14 14:19:50,2022-02-14 14:23:14,0,72.14.119.2,100,204,1,2022-02-14 14:23:15,R_3mlNNBeQAe17HiY,,,,,48.704803466796875,-95.750396728515625,anonymous,EN,1,,0,5,,4,3,4,symptoms carpal tunnel,"4,1,3,5,2,6",2,5,3,1,4,6,5,2,4,How to treat abscess tooth,"3,1,2,4,5,6",2,3,1,4,5,6,4,5,5,Health benefits dark chocolate,"4,5,6,3,2,1",6,5,4,1,2,3,1,2,4,Hay rides Pennsylvania,"4,6,2,5,3,1",6,3,1,4,2,5,12404386894,2
2022-02-14 14:18:43,2022-02-14 14:23:15,0,98.178.201.59,100,271,1,2022-02-14 14:23:15,R_3g6lbkGNbTCfduN,,,,,29.8972930908203125,-90.20330047607421875,anonymous,EN,1,,0,0,,4,3,4,carpal tunnel symptoms of onset,"4,3,1,5,2,6",3,5,2,1,4,6,3,2,4,rear tooth abscess signs,"1,3,2,4,5,6",1,3,2,4,5,6,4,4,4,health benefits of eating dark chocolate,"5,4,3,2,1,6",5,4,3,2,1,6,4,3,4,"hayrides in Pennsylvania, United States","5,4,2,6,1,3",5,3,2,1,4,6,42224564114,1
